Date,HomeTeam,AwayTeam,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM,outcome_by_HOME
6/2/2016,Man City,Leicester,6.793,3.769,5.359,2,14,0,1,0
6/2/2016,Newcastle,West Brom,7.119,3.163,3.448,15,13,0,-1,1
6/2/2016,Southampton,West Ham,6.379,3.429,4.829,7,12,1,0,1
6/2/2016,Stoke,Everton,7.473,3.233,2.783,9,11,1,0,0
6/2/2016,Swansea,Crystal Palace,7.151,3.115,3.367,8,10,0,0,2
6/2/2016,Tottenham,Watford,6.607,3.866,6.642,5,20,1,0,1
7/2/2016,Bournemouth,Arsenal,8.415,3.478,2.245,20,3,0,0,0
7/2/2016,Chelsea,Man United,7.09,3.13,3.646,1,4,0,0,2
13/2/2016,Bournemouth,Stoke,7.05,3.187,3.689,20,9,-1,-1,0
13/2/2016,Chelsea,Newcastle,6.729,4.173,6.841,1,15,1,-1,1
13/2/2016,Crystal Palace,Watford,7.175,3.109,3.349,10,20,0,1,0
13/2/2016,Everton,West Brom,6.741,3.754,6.335,11,13,1,1,0
13/2/2016,Norwich,West Ham,7.36,3.233,2.956,20,12,1,0,2
13/2/2016,Sunderland,Man United,9.349,3.791,2.14,16,4,-1,1,1
13/2/2016,Swansea,Southampton,7.794,3.195,2.551,8,7,-1,1,0
14/2/2016,Arsenal,Leicester,6.887,3.677,4.353,3,14,-1,-1,1
14/2/2016,Aston Villa,Liverpool,8.984,3.661,2.186,17,6,0,1,0
14/2/2016,Man City,Tottenham,7.079,3.365,3.532,2,5,-1,0,0
27/2/2016,Leicester,Norwich,7.082,3.95,5.714,14,20,0,1,1
27/2/2016,Southampton,Chelsea,7.983,3.201,2.605,7,1,-1,0,0
27/2/2016,Stoke,Aston Villa,7.117,3.418,5.285,9,17,-1,-1,1
27/2/2016,Watford,Bournemouth,7.614,3.142,3.038,20,20,1,1,2
27/2/2016,West Brom,Crystal Palace,7.828,3.062,2.829,13,10,0,-1,1
27/2/2016,West Ham,Sunderland,7.238,3.383,4.153,12,16,0,-1,1
28/2/2016,Tottenham,Swansea,6.587,3.895,7.35,5,8,1,0,1
28/2/2016,Man United,Arsenal,7.714,3.227,2.52,4,3,1,1,1
1/3/2016,Aston Villa,Everton,9.098,3.677,2.176,17,11,-1,1,0
1/3/2016,Bournemouth,Southampton,7.871,3.188,2.667,20,7,-1,-1,1
1/3/2016,Leicester,West Brom,7.042,3.489,5.117,14,13,-1,1,2
1/3/2016,Norwich,Chelsea,9.763,4.075,2.086,20,1,1,-1,0
1/3/2016,Sunderland,Crystal Palace,7.595,3.172,2.983,16,10,-1,0,2
2/3/2016,Arsenal,Swansea,6.932,4.568,8.455,3,8,1,1,0
2/3/2016,Liverpool,Man City,7.603,3.257,2.765,6,2,-1,1,1
2/3/2016,Man United,Watford,7.026,3.471,5.433,4,20,1,-1,1
2/3/2016,Stoke,Newcastle,7.202,3.29,3.913,9,15,0,1,1
2/3/2016,West Ham,Tottenham,8.702,3.512,2.231,12,5,-1,0,1
5/3/2016,Chelsea,Stoke,6.963,3.868,6.396,1,9,-1,1,2
5/3/2016,Everton,West Ham,7.096,3.589,4.609,11,12,1,-1,0
5/3/2016,Man City,Aston Villa,6.957,5.914,13.592,2,17,-1,1,1
5/3/2016,Newcastle,Bournemouth,7.707,3.232,2.757,15,20,-1,-1,0
5/3/2016,Southampton,Sunderland,6.98,3.628,5.75,7,16,-1,0,2
5/3/2016,Swansea,Norwich,7.108,3.227,3.803,8,20,0,1,1
5/3/2016,Tottenham,Arsenal,7.545,3.269,2.976,5,3,-1,1,2
5/3/2016,Watford,Leicester,7.817,3.244,2.559,20,14,1,1,0
6/3/2016,Crystal Palace,Liverpool,8.26,3.389,2.294,10,6,-1,-1,0
6/3/2016,West Brom,Man United,8.658,3.438,2.226,13,4,1,1,1
12/3/2016,Bournemouth,Swansea,6.971,3.202,3.958,20,8,-1,1,1
12/3/2016,Norwich,Man City,10.023,4.27,2.084,20,2,1,-1,2
12/3/2016,Stoke,Southampton,7.521,3.112,2.778,9,7,-1,1,0
13/3/2016,Aston Villa,Tottenham,10.979,4.641,2.113,17,5,-1,1,0
14/3/2016,Leicester,Newcastle,6.561,3.749,5.478,14,15,0,1,1
19/3/2016,Chelsea,West Ham,7.07,3.554,4.62,1,12,-1,1,2
19/3/2016,Crystal Palace,Leicester,7.986,3.24,2.533,10,14,-1,0,0
19/3/2016,Everton,Arsenal,7.74,3.409,2.636,11,3,-1,-1,0
19/3/2016,Swansea,Aston Villa,7.016,3.512,5.324,8,17,0,0,1
19/3/2016,Watford,Stoke,7.522,3.087,3.094,20,9,1,1,0
19/3/2016,West Brom,Norwich,7.269,3.108,3.358,13,20,-1,1,0
20/3/2016,Man City,Man United,7.022,3.425,4.19,2,4,1,-1,0
20/3/2016,Newcastle,Sunderland,7.322,3.207,3.477,15,16,1,-1,2
20/3/2016,Southampton,Liverpool,7.471,3.168,2.797,7,6,1,1,1
20/3/2016,Tottenham,Bournemouth,6.868,3.891,5.938,5,20,-1,1,1
2/4/2016,Arsenal,Watford,6.717,4.641,8.434,3,20,1,-1,1
2/4/2016,Aston Villa,Chelsea,10.431,4.302,2.098,17,1,1,-1,0
2/4/2016,Bournemouth,Man City,8.341,3.511,2.241,20,2,-1,-1,0
2/4/2016,Liverpool,Tottenham,7.285,3.237,2.873,6,5,-1,1,2
2/4/2016,Norwich,Newcastle,7.159,3.171,3.35,20,15,-1,-1,1
2/4/2016,Stoke,Swansea,7.254,3.168,3.418,9,8,1,1,2
2/4/2016,Sunderland,West Brom,7.174,3.136,3.674,16,13,-1,1,2
2/4/2016,West Ham,Crystal Palace,6.88,3.294,3.859,12,10,0,1,2
3/4/2016,Leicester,Southampton,7.41,3.187,3.272,14,7,-1,-1,1
3/4/2016,Man United,Everton,7.165,3.246,3.62,4,11,1,1,1
9/4/2016,Aston Villa,Bournemouth,8.362,3.369,2.305,17,20,1,1,0
9/4/2016,Crystal Palace,Norwich,7.145,3.21,3.6,10,20,0,0,1
9/4/2016,Man City,West Brom,6.935,4.603,8.796,2,13,-1,1,1
9/4/2016,Southampton,Newcastle,6.974,3.717,5.782,7,15,-1,-1,1
9/4/2016,Swansea,Chelsea,8.489,3.442,2.236,8,1,1,-1,1
9/4/2016,Watford,Everton,8.276,3.315,2.367,20,11,0,1,2
9/4/2016,West Ham,Arsenal,8.582,3.629,2.184,12,3,-1,-1,2
10/4/2016,Liverpool,Stoke,6.781,3.656,5.418,6,9,1,1,1
10/4/2016,Sunderland,Leicester,8.227,3.392,2.301,16,14,1,-1,0
10/4/2016,Tottenham,Man United,7.095,3.316,3.796,5,4,0,-1,1
13/4/2016,Crystal Palace,Everton,7.927,3.247,2.565,10,11,1,0,2
16/4/2016,Chelsea,Man City,7.972,3.283,2.702,1,2,0,1,0
16/4/2016,Everton,Southampton,7.935,3.23,2.773,11,7,-1,0,2
16/4/2016,Man United,Aston Villa,7.249,5.601,13.862,4,17,-1,-1,1
16/4/2016,Newcastle,Swansea,7.681,3.219,3.153,15,8,-1,1,1
16/4/2016,Norwich,Sunderland,7.605,3.163,3.115,20,16,-1,-1,0
16/4/2016,West Brom,Watford,7.71,3.055,3.213,13,20,1,1,0
17/4/2016,Arsenal,Crystal Palace,7.195,4.816,8.454,3,10,-1,-1,2
