Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,NewcastleH,CharltonA,0,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,TottenhamH,ManCityA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LeicesterH,EvertonA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,AstonVillaH,DerbyA,4,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,CharltonH,CoventryA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,EvertonH,IpswichA,0,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,LeedsH,TottenhamA,4,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ManCityH,NewcastleA,0,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,SouthamptonH,MiddlesbroughA,1,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,WestHamH,BradfordA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,ArsenalH,ManUnitedA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ChelseaH,LiverpoolA,3,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SunderlandH,LeicesterA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,ArsenalH,AstonVillaA,1,0,2.2,0.8,15.2,8.4,9.8,3.8,7.2,4.6,14.4,13.2,1.2,2.4,0.2,0.2,1
2000-01,########,CoventryH,TottenhamA,2,1,0.6,1.0,7.4,9.0,2.8,4.2,5.6,4.2,13.0,14.8,1.6,1.4,0.4,0.0,1
2000-01,########,EvertonH,SouthamptonA,1,1,1.4,1.0,9.0,9.2,5.4,4.4,6.6,8.2,12.0,13.8,2.0,1.6,0.0,0.0,2
2000-01,########,IpswichH,WestHamA,1,1,1.0,1.4,14.0,11.6,6.4,6.2,5.6,6.4,9.4,12.6,0.8,2.4,0.0,0.0,2
2000-01,########,LeedsH,CharltonA,3,1,2.2,1.4,14.0,7.8,6.4,4.8,7.0,6.2,13.8,12.2,0.8,1.2,0.0,0.2,1
2000-01,########,LeicesterH,ManUnitedA,0,3,0.8,1.8,10.8,13.8,4.8,5.8,7.2,6.8,10.4,11.0,1.2,1.6,0.0,0.0,0
2000-01,########,ManCityH,BradfordA,2,0,1.6,0.2,12.4,7.2,7.2,3.6,7.2,3.2,14.4,11.2,1.4,1.6,0.0,0.0,1
2000-01,########,SunderlandH,ChelseaA,1,0,1.0,0.8,13.4,11.8,6.6,4.6,4.2,4.8,13.8,17.2,2.0,1.6,0.2,0.2,1
2000-01,########,DerbyH,LiverpoolA,0,4,1.6,1.6,9.2,9.8,4.4,4.6,6.2,3.2,14.2,13.2,2.0,1.6,0.2,0.4,0
2000-01,########,MiddlesbroughH,NewcastleA,1,3,1.0,1.2,11.2,12.4,5.2,7.2,5.4,6.2,10.4,14.0,2.4,0.8,0.0,0.0,0
